ko,en,ja,zh,note
중앙로,Jungang-ro,中央路,中央路,
바구멀,Bagumeol,パグモル,巴古末,
주민센터,Community Center,住民センター,社区中心,
어진길,Eojin-gil,オジンキル,御真路,
견훤,Gyeonhwon,キョンフォン,甄萱,
호수공원,Lake Park,湖水公園,湖水公园,
로터리,Rotary,ロータリー,环岛,
블럭,Block,ブロック,街区,
우아한시티,Uahan City,ウアハンシティ,牛牙城,
광장,Plaza,広場,广场,
호수,Lake,湖,湖,
케이비에스,KBS,KBS,KBS,
골드,Gold,ゴールド,金,
한옥,Hanok,韓屋,韩屋,
객사길,Gaeksa-gil,客舎通り,客舍路,
경원,Gyeongwon,キョンウォン,慶原,
동,-dong,洞,洞,
대,Univ.,大学,大学,
점입구,Entrance,入口,入口,
