매장(한국어),매장(EN),매장(JA),매장(ZH),구분,메뉴(한국어),메뉴(EN),메뉴(JA),메뉴(ZH),당류(g),칼로리,가격(원),기준량,비고(한국어),비고(EN),비고(JA),비고(ZH),신뢰도,출처
디저트39 전북대점,DESSERT39 Jeonbuk National Univ.,デザート39 全北大店,DESSERT39 全北大店,저당,0칼로리 복숭아 아이스티,Zero-Calorie Peach Iced Tea,0キロカロリー ピーチアイスティー,0卡路里蜜桃冰茶,,0,2300,,공식 메뉴판 '제로·저칼로리' 분류,"Listed under ""Zero & Low Calorie"" on the official menu",公式メニューの「ゼロ・低カロリー」分類,官方菜单“零卡·低卡”分类,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전북대점,DESSERT39 Jeonbuk National Univ.,デザート39 全北大店,DESSERT39 全北大店,시그니처,착한 콜드브루,Value Cold Brew,お手頃コールドブリュー,超值冷萃咖啡,,,1900,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전북대점,DESSERT39 Jeonbuk National Univ.,デザート39 全北大店,DESSERT39 全北大店,시그니처,아메리카노,Americano,アメリカーノ,美式咖啡,,,3900,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전북대점,DESSERT39 Jeonbuk National Univ.,デザート39 全北大店,DESSERT39 全北大店,시그니처,착한 바닐라라떼,Value Vanilla Latte,お手頃バニララテ,超值香草拿铁,,,2800,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전북대점,DESSERT39 Jeonbuk National Univ.,デザート39 全北大店,DESSERT39 全北大店,시그니처,자바칩 프라페,Java Chip Frappe,ジャバチップフラッペ,爪哇脆片冰乐,,,5500,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전주만성점,DESSERT39 Jeonju Manseong,デザート39 チョンジュ・マンソン店,DESSERT39 全州萬成店,저당,0칼로리 복숭아 아이스티,Zero-Calorie Peach Iced Tea,0キロカロリー ピーチアイスティー,0卡路里蜜桃冰茶,,0,2300,,공식 메뉴판 '제로·저칼로리' 분류,"Listed under ""Zero & Low Calorie"" on the official menu",公式メニューの「ゼロ・低カロリー」分類,官方菜单“零卡·低卡”分类,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전주만성점,DESSERT39 Jeonju Manseong,デザート39 チョンジュ・マンソン店,DESSERT39 全州萬成店,시그니처,착한 콜드브루,Value Cold Brew,お手頃コールドブリュー,超值冷萃咖啡,,,1900,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전주만성점,DESSERT39 Jeonju Manseong,デザート39 チョンジュ・マンソン店,DESSERT39 全州萬成店,시그니처,아메리카노,Americano,アメリカーノ,美式咖啡,,,3900,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전주만성점,DESSERT39 Jeonju Manseong,デザート39 チョンジュ・マンソン店,DESSERT39 全州萬成店,시그니처,착한 바닐라라떼,Value Vanilla Latte,お手頃バニララテ,超值香草拿铁,,,2800,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
디저트39 전주만성점,DESSERT39 Jeonju Manseong,デザート39 チョンジュ・マンソン店,DESSERT39 全州萬成店,시그니처,자바칩 프라페,Java Chip Frappe,ジャバチップフラッペ,爪哇脆片冰乐,,,5500,,공식 메뉴판 '베스트 인기 메뉴',"Listed as a ""Best Seller"" on the official menu",公式メニューの「人気ベストメニュー」,官方菜单“人气最佳菜单”,official,https://www.dessert39.com/html/pages/menu_beverage.php
영칼로리포케&샐러드 전주신시가지점,Zero Calorie Poke & Salad Jeonju Sinsigaji,ゼロカロリーポケ&サラダ 新市街地店,零卡路里波奇饭&沙拉 全州新市街地店,저당,무설탕 수비드 안심 김치 덮밥,Sugar-Free Sous-Vide Tenderloin Kimchi Rice Bowl,無糖 スーヴィッド ヒレ肉キムチ丼,无糖低温慢煮里脊泡菜盖饭,1,330,,,,,,,estimated,https://xn--2o2b2xt4yeqi6sah0v.com/
영칼로리포케&샐러드 전주신시가지점,Zero Calorie Poke & Salad Jeonju Sinsigaji,ゼロカロリーポケ&サラダ 新市街地店,零卡路里波奇饭&沙拉 全州新市街地店,저당,저당 갈비 포케,Low-Sugar Galbi Poke,低糖 カルビポケ,低糖排骨波奇饭,2,500,,,메뉴명에 '저당' 표기,"Labeled ""low sugar"" by the brand",メニュー名に「低糖」表記,菜单名标注“低糖”,estimated,https://xn--2o2b2xt4yeqi6sah0v.com/
영칼로리포케&샐러드 전주신시가지점,Zero Calorie Poke & Salad Jeonju Sinsigaji,ゼロカロリーポケ&サラダ 新市街地店,零卡路里波奇饭&沙拉 全州新市街地店,저당,저당 갈비 덮밥,Low-Sugar Galbi Rice Bowl,低糖 カルビ丼,低糖排骨盖饭,3,300,,,메뉴명에 '저당' 표기,"Labeled ""low sugar"" by the brand",メニュー名に「低糖」表記,菜单名标注“低糖”,estimated,https://xn--2o2b2xt4yeqi6sah0v.com/
영칼로리포케&샐러드 전주신시가지점,Zero Calorie Poke & Salad Jeonju Sinsigaji,ゼロカロリーポケ&サラダ 新市街地店,零卡路里波奇饭&沙拉 全州新市街地店,시그니처,부채살 포케,Flat Iron Steak Poke,ミスジポケ,板腱牛肉波奇饭,2,325,,,,,,,estimated,https://xn--2o2b2xt4yeqi6sah0v.com/
영칼로리포케&샐러드 전주신시가지점,Zero Calorie Poke & Salad Jeonju Sinsigaji,ゼロカロリーポケ&サラダ 新市街地店,零卡路里波奇饭&沙拉 全州新市街地店,시그니처,연어 포케,Salmon Poke,サーモンポケ,三文鱼波奇饭,4,400,,,,,,,estimated,https://xn--2o2b2xt4yeqi6sah0v.com/
슬로우캘리 전주효자점,SLOWCALI Jeonju Hyoja,スローカリ チョンジュ・ヒョジャ店,SLOWCALI 全州孝子店,저당,애사비 에이드,Apple Cider Vinegar Ade,アップルサイダービネガーエード,苹果醋气泡饮,0,0,,,당류·열량 0,Zero sugar and calories,糖類・カロリー 0,零糖零热量,official,https://www.slowcali.co.kr/bbs/content.php?co_id=menu
슬로우캘리 전주효자점,SLOWCALI Jeonju Hyoja,スローカリ チョンジュ・ヒョジャ店,SLOWCALI 全州孝子店,저당,연어 포케 (메밀면&샐러드),Salmon Poke (Buckwheat Noodles & Salad),サーモンポケ（そば&サラダ）,三文鱼波奇饭（荞麦面&沙拉）,3.0,536.3,,,,,,,official,https://www.slowcali.co.kr/bbs/content.php?co_id=menu
슬로우캘리 전주효자점,SLOWCALI Jeonju Hyoja,スローカリ チョンジュ・ヒョジャ店,SLOWCALI 全州孝子店,저당,크런치 시저 샐러드,Crunch Caesar Salad,クランチシーザーサラダ,香脆凯撒沙拉,3.1,189.9,,151g,,,,,official,https://www.slowcali.co.kr/bbs/content.php?co_id=menu
슬로우캘리 전주효자점,SLOWCALI Jeonju Hyoja,スローカリ チョンジュ・ヒョジャ店,SLOWCALI 全州孝子店,저당,문어 포케 (현미밥&샐러드),Octopus Poke (Brown Rice & Salad),タコポケ（玄米ご飯&サラダ）,章鱼波奇饭（糙米饭&沙拉）,3.4,398.2,,336g,,,,,official,https://www.slowcali.co.kr/bbs/content.php?co_id=menu
슬로우캘리 전주효자점,SLOWCALI Jeonju Hyoja,スローカリ チョンジュ・ヒョジャ店,SLOWCALI 全州孝子店,시그니처,올인원 포케 (현미밥&샐러드),All-in-One Poke (Brown Rice & Salad),オールインワンポケ（玄米ご飯&サラダ）,全能波奇饭（糙米饭&沙拉）,3.4,453.2,,405g,브랜드 대표 포케,The brand's signature poke,ブランド代表のポケ,品牌招牌波奇饭,official,https://www.slowcali.co.kr/bbs/content.php?co_id=menu
샐러디 전주송천점,SALADY Jeonju Songcheon,サラディ チョンジュ・ソンチョン店,SALADY 全州松川店,저당,콥 샐러디,Cobb Salady,コブサラディ,科布沙拉,3.4,219.1,,215g,전 샐러디 메뉴 중 당류 최저,Lowest sugar of all Salady menus,サラディ全メニュー中 糖類最少,全部沙拉菜单中含糖量最低,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주송천점,SALADY Jeonju Songcheon,サラディ チョンジュ・ソンチョン店,SALADY 全州松川店,저당,고추장머쉬룸 웜볼,Gochujang Mushroom Warm Bowl,コチュジャンマッシュルーム ウォームボウル,辣椒酱蘑菇暖碗,3.8,433.9,,365g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주송천점,SALADY Jeonju Songcheon,サラディ チョンジュ・ソンチョン店,SALADY 全州松川店,저당,우삼겹 웜볼,Beef Brisket Warm Bowl,牛バラ肉 ウォームボウル,牛五花暖碗,5.1,409.9,,285g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주송천점,SALADY Jeonju Songcheon,サラディ チョンジュ・ソンチョン店,SALADY 全州松川店,저당,우삼겹메밀면 샐러디,Beef Brisket Buckwheat Noodle Salady,牛バラ肉そば サラディ,牛五花荞麦面沙拉,5.2,307.4,,305g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주송천점,SALADY Jeonju Songcheon,サラディ チョンジュ・ソンチョン店,SALADY 全州松川店,시그니처,시저치킨 샐러디,Caesar Chicken Salady,シーザーチキン サラディ,凯撒鸡肉沙拉,8.5,116.4,,160g,전 메뉴 중 최저 칼로리,Lowest calories on the menu,全メニュー中 最少カロリー,全部菜单中热量最低,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주혁신도시점,SALADY Jeonju Innovation City,サラディ 革新都市店,SALADY 全州革新都市店,저당,콥 샐러디,Cobb Salady,コブサラディ,科布沙拉,3.4,219.1,,215g,전 샐러디 메뉴 중 당류 최저,Lowest sugar of all Salady menus,サラディ全メニュー中 糖類最少,全部沙拉菜单中含糖量最低,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주혁신도시점,SALADY Jeonju Innovation City,サラディ 革新都市店,SALADY 全州革新都市店,저당,고추장머쉬룸 웜볼,Gochujang Mushroom Warm Bowl,コチュジャンマッシュルーム ウォームボウル,辣椒酱蘑菇暖碗,3.8,433.9,,365g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주혁신도시점,SALADY Jeonju Innovation City,サラディ 革新都市店,SALADY 全州革新都市店,저당,우삼겹 웜볼,Beef Brisket Warm Bowl,牛バラ肉 ウォームボウル,牛五花暖碗,5.1,409.9,,285g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주혁신도시점,SALADY Jeonju Innovation City,サラディ 革新都市店,SALADY 全州革新都市店,저당,우삼겹메밀면 샐러디,Beef Brisket Buckwheat Noodle Salady,牛バラ肉そば サラディ,牛五花荞麦面沙拉,5.2,307.4,,305g,,,,,official,https://salady.com/pdf/220908_nutrition.pdf
샐러디 전주혁신도시점,SALADY Jeonju Innovation City,サラディ 革新都市店,SALADY 全州革新都市店,시그니처,시저치킨 샐러디,Caesar Chicken Salady,シーザーチキン サラディ,凯撒鸡肉沙拉,8.5,116.4,,160g,전 메뉴 중 최저 칼로리,Lowest calories on the menu,全メニュー中 最少カロリー,全部菜单中热量最低,official,https://salady.com/pdf/220908_nutrition.pdf
