ko,en,ja,zh,미매칭
스타벅스 전주덕진광장DT점,Starbucks Jeonju Deokjin Plaza DT,スターバックス チョンジュトクチン広場DT店,星巴克 全州德津广场DT店,
스타벅스 전주혁신도시점,Starbucks Jeonju Innovation City,スターバックス チョンジュ革新都市店,星巴克 全州革新都市店,
빽다방 전주혁신1호점,PAIK'S COFFEE Jeonju Innovation City No.1,ペクタバン チョンジュ革新都市1号店,白茶坊 全州革新都市1号店,
컴포즈커피 전주혁신대방점,COMPOSE COFFEE Jeonju Innovation City Daebang,コンポーズコーヒー チョンジュ革新都市テバン店,COMPOSE COFFEE 全州革新都市大邦店,
컴포즈커피 전주서신쌍용점,COMPOSE COFFEE Jeonju Seosin Ssangyong,コンポーズコーヒー チョンジュソシンサンヨン店,COMPOSE COFFEE 全州西新双龙店,
스타벅스 전주이마트점,Starbucks Jeonju E-mart,スターバックス チョンジュEマート店,星巴克 全州易买得店,
빽다방 전주서신중앙점,PAIK'S COFFEE Jeonju Seosin Jungang,ペクタバン チョンジュソシン中央店,白茶坊 全州西新中央店,
투썸플레이스 전주송천점,A TWOSOME PLACE Jeonju Songcheon,ア・トゥーサムプレイス チョンジュソンチョン店,A TWOSOME PLACE 全州松川店,
투썸플레이스 동전주점,A TWOSOME PLACE -dong Jeonju,ア・トゥーサムプレイス 洞チョンジュ店,A TWOSOME PLACE 洞全州店,
스타벅스 전주호성DT점,Starbucks Jeonju Hoseong DT,スターバックス チョンジュホソンDT店,星巴克 全州湖城DT店,
이디야커피 케이비에스점,EDIYA COFFEE KBS,イディヤコーヒー KBS店,EDIYA COFFEE KBS店,
컴포즈커피 전주홍산점,COMPOSE COFFEE Jeonju Hongsan,コンポーズコーヒー チョンジュホンサン店,COMPOSE COFFEE 全州鴻山店,
메가MGC커피 전주KBS점,MEGA COFFEE Jeonju KBS,メガMGCコーヒー チョンジュKBS店,MEGA COFFEE 全州KBS店,
빽다방 전주KBS점,PAIK'S COFFEE Jeonju KBS,ペクタバン チョンジュKBS店,白茶坊 全州KBS店,
빽다방 전주만성지구점,PAIK'S COFFEE Jeonju Manseong District,ペクタバン チョンジュマンソン地区店,白茶坊 全州萬成地区店,
이디야커피 전주만성점,EDIYA COFFEE Jeonju Manseong,イディヤコーヒー チョンジュマンソン店,EDIYA COFFEE 全州萬成店,
빽다방 전주 만성북부점,PAIK'S COFFEE Jeonju Manseong North,ペクタバン チョンジュ マンソン北部店,白茶坊 全州 萬成北部店,
이디야커피 전주만성골드점,EDIYA COFFEE Jeonju Manseong Gold,イディヤコーヒー チョンジュマンソンゴールド店,EDIYA COFFEE 全州萬成金店,
빽다방 전주만성중앙점,PAIK'S COFFEE Jeonju Manseong Jungang,ペクタバン チョンジュマンソン中央店,白茶坊 全州萬成中央店,
컴포즈커피 전주만성지구점,COMPOSE COFFEE Jeonju Manseong District,コンポーズコーヒー チョンジュマンソン地区店,COMPOSE COFFEE 全州萬成地区店,
메가MGC커피 전주만성지구점,MEGA COFFEE Jeonju Manseong District,メガMGCコーヒー チョンジュマンソン地区店,MEGA COFFEE 全州萬成地区店,
투썸플레이스 전주평화점,A TWOSOME PLACE Jeonju Pyeonghwa,ア・トゥーサムプレイス チョンジュピョンファ店,A TWOSOME PLACE 全州平和店,
빽다방 전주중화산에코르점,PAIK'S COFFEE Jeonju Junghwasan Ecole,ペクタバン チョンジュチュンファサンエコール店,白茶坊 全州中華山艾克尔店,
스타벅스 전북대점,Starbucks Jeonbuk National Univ.,スターバックス 全北大店,星巴克 全北大店,
메가MGC커피 전북대구정문점,MEGA COFFEE Jeonbuk National Univ. Old Gate,メガMGCコーヒー 全北大旧正門店,MEGA COFFEE 全北大旧正门店,
메가MGC커피 전주평화점,MEGA COFFEE Jeonju Pyeonghwa,メガMGCコーヒー チョンジュピョンファ店,MEGA COFFEE 全州平和店,
스타벅스 전주평화DT점,Starbucks Jeonju Pyeonghwa DT,スターバックス チョンジュピョンファDT店,星巴克 全州平和DT店,
이디야커피 전주평화사거리점,EDIYA COFFEE Jeonju Pyeonghwa Junction,イディヤコーヒー チョンジュピョンファ交差点店,EDIYA COFFEE 全州平和路口店,
메가MGC커피 전주아중점,MEGA COFFEE Jeonju Ajung,メガMGCコーヒー チョンジュアジュン店,MEGA COFFEE 全州牙中店,
컴포즈커피 전주인후부영점,COMPOSE COFFEE Jeonju Inhu Booyoung,コンポーズコーヒー チョンジュイヌブヨン店,COMPOSE COFFEE 全州麟後富荣店,
빽다방 전주대점,PAIK'S COFFEE Jeonju Univ.,ペクタバン 全州大店,白茶坊 全州大店,
컴포즈커피 전주대점,COMPOSE COFFEE Jeonju Univ.,コンポーズコーヒー 全州大店,COMPOSE COFFEE 全州大店,
메가MGC커피 전주대점,MEGA COFFEE Jeonju Univ.,メガMGCコーヒー 全州大店,MEGA COFFEE 全州大店,
빽다방 전주에코백석점,PAIK'S COFFEE Jeonju Eco City Baekseok,ペクタバン チョンジュエコシティペクソク店,白茶坊 全州生态城白石店,
스타벅스 전주에코DT점,Starbucks Jeonju Eco City DT,スターバックス チョンジュエコシティDT店,星巴克 全州生态城DT店,
스타벅스 전주백제대로DT점,Starbucks Jeonju Baekje-daero DT,スターバックス チョンジュ百済大路DT店,星巴克 全州百济大路DT店,
빽다방 전주근영점,PAIK'S COFFEE Jeonju Geunyeong,ペクタバン チョンジュクニョン店,白茶坊 全州槿英店,
이디야커피 전주근영여고점,EDIYA COFFEE Jeonju Geunyeong Girls' High School,イディヤコーヒー チョンジュクニョン女子高店,EDIYA COFFEE 全州槿英女高店,
빽다방 전주서신아이파크점,PAIK'S COFFEE Jeonju Seosin I-Park,ペクタバン チョンジュソシンアイパーク店,白茶坊 全州西新爱park店,
메가MGC커피 전북대한옥정문점,MEGA COFFEE Jeonbuk National Univ. Hanok Gate,メガMGCコーヒー 全北大韓屋正門店,MEGA COFFEE 全北大韩屋正门店,
스타벅스 전북대병원DT점,Starbucks Jeonbuk National Univ. Hospital DT,スターバックス 全北大病院DT店,星巴克 全北大医院DT店,
빽다방 전주사대부고점,PAIK'S COFFEE Jeonju Univ. High School,ペクタバン チョンジュ大学附属高校店,白茶坊 全州大学附属高中店,
투썸플레이스 전주백제로점,A TWOSOME PLACE Jeonju Baekje-ro,ア・トゥーサムプレイス チョンジュ百済路店,A TWOSOME PLACE 全州百济路店,
빽다방 전주첫마중길점,PAIK'S COFFEE Jeonju Cheonmajung-gil,ペクタバン チョンジュチョンマジュンキル店,白茶坊 全州初迎路店,
컴포즈커피 전주IC점,COMPOSE COFFEE Jeonju IC,コンポーズコーヒー チョンジュIC店,COMPOSE COFFEE 全州IC店,
빽다방 전주덕진구청점,PAIK'S COFFEE Jeonju Deokjin District Office,ペクタバン チョンジュ徳津区庁店,白茶坊 全州德津区厅店,
컴포즈커피 전주대신정문점,COMPOSE COFFEE Jeonju Daesin Main Gate,コンポーズコーヒー チョンジュテシン正門店,COMPOSE COFFEE 全州大信正门店,
컴포즈커피 전주송천오송점,COMPOSE COFFEE Jeonju Songcheon Osong,コンポーズコーヒー チョンジュソンチョンオソン店,COMPOSE COFFEE 全州松川五松店,
빽다방 전주서신롯데점,PAIK'S COFFEE Jeonju Seosin Lotte,ペクタバン チョンジュソシンロッテ店,白茶坊 全州西新乐天店,
이디야커피 전주서곡지구점,EDIYA COFFEE Jeonju Seogok District,イディヤコーヒー チョンジュソゴク地区店,EDIYA COFFEE 全州西谷地区店,
스타벅스 전주서신점,Starbucks Jeonju Seosin,スターバックス チョンジュソシン店,星巴克 全州西新店,
메가MGC커피 전주서일점,MEGA COFFEE Jeonju Seoil,メガMGCコーヒー チョンジュソイル店,MEGA COFFEE 全州西一店,
메가MGC커피 전주서신점,MEGA COFFEE Jeonju Seosin,メガMGCコーヒー チョンジュソシン店,MEGA COFFEE 全州西新店,
이디야커피 전주서신주민센터점,EDIYA COFFEE Jeonju Seosin Community Center,イディヤコーヒー チョンジュソシン住民センター店,EDIYA COFFEE 全州西新社区中心店,
이디야커피 중화산동점,EDIYA COFFEE Junghwasan -dong,イディヤコーヒー チュンファサン洞店,EDIYA COFFEE 中華山洞店,
투썸플레이스 서원로점,A TWOSOME PLACE Seowon-ro,ア・トゥーサムプレイス 書院路店,A TWOSOME PLACE 书院路店,
빽다방 전주예수병원점,PAIK'S COFFEE Jeonju Jesus Hospital,ペクタバン チョンジュイエス病院店,白茶坊 全州基督医院店,
스타벅스 전주예수병원점,Starbucks Jeonju Jesus Hospital,スターバックス チョンジュイエス病院店,星巴克 全州基督医院店,
컴포즈커피 전주중앙여고점,COMPOSE COFFEE Jeonju Jungang Girls' High School,コンポーズコーヒー チョンジュ中央女子高店,COMPOSE COFFEE 全州中央女高店,
빽다방 전주서곡지구점,PAIK'S COFFEE Jeonju Seogok District,ペクタバン チョンジュソゴク地区店,白茶坊 全州西谷地区店,
스타벅스 전주에코시티점,Starbucks Jeonju Eco City,スターバックス チョンジュエコシティ店,星巴克 全州生态城店,
메가MGC커피 전주에코시티로터리점,MEGA COFFEE Jeonju Eco City Rotary,メガMGCコーヒー チョンジュエコシティロータリー店,MEGA COFFEE 全州生态城环岛店,
빽다방 전주에코세병호점,PAIK'S COFFEE Jeonju Eco City Sebyeongho Lake,ペクタバン チョンジュエコシティセビョン湖店,白茶坊 全州生态城洗兵湖店,
컴포즈커피 전주에코스위첸점,COMPOSE COFFEE Jeonju Eco City SwitChen,コンポーズコーヒー チョンジュエコシティスウィッチェン店,COMPOSE COFFEE 全州生态城瑞驰店,
메가MGC커피 전주에코시티점,MEGA COFFEE Jeonju Eco City,メガMGCコーヒー チョンジュエコシティ店,MEGA COFFEE 全州生态城店,
빽다방 전주에코시티점,PAIK'S COFFEE Jeonju Eco City,ペクタバン チョンジュエコシティ店,白茶坊 全州生态城店,
컴포즈커피 전주에코시티점,COMPOSE COFFEE Jeonju Eco City,コンポーズコーヒー チョンジュエコシティ店,COMPOSE COFFEE 全州生态城店,
컴포즈커피 전주에코3블럭점,COMPOSE COFFEE Jeonju Eco City 3 Block,コンポーズコーヒー チョンジュエコシティ3ブロック店,COMPOSE COFFEE 全州生态城3街区店,
이디야커피 전주에코점,EDIYA COFFEE Jeonju Eco City,イディヤコーヒー チョンジュエコシティ店,EDIYA COFFEE 全州生态城店,
컴포즈커피 전주평화점,COMPOSE COFFEE Jeonju Pyeonghwa,コンポーズコーヒー チョンジュピョンファ店,COMPOSE COFFEE 全州平和店,
컴포즈커피 전주송천점,COMPOSE COFFEE Jeonju Songcheon,コンポーズコーヒー チョンジュソンチョン店,COMPOSE COFFEE 全州松川店,
메가MGC커피 전주송천1가점,MEGA COFFEE Jeonju Songcheon 1(il)-ga,メガMGCコーヒー チョンジュソンチョン1街店,MEGA COFFEE 全州松川1街店,
메가MGC커피 전주송천점,MEGA COFFEE Jeonju Songcheon,メガMGCコーヒー チョンジュソンチョン店,MEGA COFFEE 全州松川店,
빽다방 전주송천센트럴파크점,PAIK'S COFFEE Jeonju Songcheon Central Park,ペクタバン チョンジュソンチョンセントラルパーク店,白茶坊 全州松川中央公园店,
스타벅스 전주송천DT점,Starbucks Jeonju Songcheon DT,スターバックス チョンジュソンチョンDT店,星巴克 全州松川DT店,
빽다방 전주용소점,PAIK'S COFFEE Jeonju Yongso,ペクタバン チョンジュヨンソ店,白茶坊 全州龍沼店,
스타벅스 전주인후DT점,Starbucks Jeonju Inhu DT,スターバックス チョンジュイヌDT店,星巴克 全州麟後DT店,
메가MGC커피 전주아중마을점,MEGA COFFEE Jeonju Ajung Village,メガMGCコーヒー チョンジュアジュン村店,MEGA COFFEE 全州牙中村店,
빽다방 전주아중점,PAIK'S COFFEE Jeonju Ajung,ペクタバン チョンジュアジュン店,白茶坊 全州牙中店,
스타벅스 전주아중DT점,Starbucks Jeonju Ajung DT,スターバックス チョンジュアジュンDT店,星巴克 全州牙中DT店,
이디야커피 전주북일점,EDIYA COFFEE Jeonju Bugil,イディヤコーヒー チョンジュプギル店,EDIYA COFFEE 全州北一店,
빽다방 전주모래내시장점,PAIK'S COFFEE Jeonju Moraenae Market,ペクタバン チョンジュモレネ市場店,白茶坊 全州沙川市场店,
이디야커피 전주안골네거리점,EDIYA COFFEE Jeonju Angol Junction,イディヤコーヒー チョンジュアンゴル交差点店,EDIYA COFFEE 全州安谷路口店,
빽다방 전주안골네거리점,PAIK'S COFFEE Jeonju Angol Junction,ペクタバン チョンジュアンゴル交差点店,白茶坊 全州安谷路口店,
컴포즈커피 전주어은점,COMPOSE COFFEE Jeonju Eoeun,コンポーズコーヒー チョンジュオウン店,COMPOSE COFFEE 全州漁隱店,
빽다방 전주한옥어진길점,PAIK'S COFFEE Jeonju Hanok Eojin-gil,ペクタバン チョンジュ韓屋オジンキル店,白茶坊 全州韩屋御真路店,
이디야커피 전주서신점,EDIYA COFFEE Jeonju Seosin,イディヤコーヒー チョンジュソシン店,EDIYA COFFEE 全州西新店,
이디야커피 전주혁신점,EDIYA COFFEE Jeonju Innovation City,イディヤコーヒー チョンジュ革新都市店,EDIYA COFFEE 全州革新都市店,
투썸플레이스 전주교직원공제회관점,A TWOSOME PLACE Jeonju Teachers' Credit Union Hall,ア・トゥーサムプレイス チョンジュ教職員共済会館店,A TWOSOME PLACE 全州教职员共济会馆店,
컴포즈커피 전주롯데점,COMPOSE COFFEE Jeonju Lotte,コンポーズコーヒー チョンジュロッテ店,COMPOSE COFFEE 全州乐天店,
메가MGC커피 전주롯데점,MEGA COFFEE Jeonju Lotte,メガMGCコーヒー チョンジュロッテ店,MEGA COFFEE 全州乐天店,
메가MGC커피 전주화개네거리점,MEGA COFFEE Jeonju Hwagae Junction,メガMGCコーヒー チョンジュファゲ交差点店,MEGA COFFEE 全州花开路口店,
메가MGC커피 전주삼천중앙점,MEGA COFFEE Jeonju Samcheon Jungang,メガMGCコーヒー チョンジュサムチョン中央店,MEGA COFFEE 全州三川中央店,
이디야커피 전주삼천점,EDIYA COFFEE Jeonju Samcheon,イディヤコーヒー チョンジュサムチョン店,EDIYA COFFEE 全州三川店,
메가MGC커피 전주삼천점,MEGA COFFEE Jeonju Samcheon,メガMGCコーヒー チョンジュサムチョン店,MEGA COFFEE 全州三川店,
빽다방 전주서부시장점,PAIK'S COFFEE Jeonju Seobu Market,ペクタバン チョンジュ西部市場店,白茶坊 全州西部市场店,
메가MGC커피 전주서부시장점,MEGA COFFEE Jeonju Seobu Market,メガMGCコーヒー チョンジュ西部市場店,MEGA COFFEE 全州西部市场店,
이디야커피 전주서부시장점,EDIYA COFFEE Jeonju Seobu Market,イディヤコーヒー チョンジュ西部市場店,EDIYA COFFEE 全州西部市场店,
투썸플레이스 CGV 전주효자점,A TWOSOME PLACE CGV Jeonju Hyoja,ア・トゥーサムプレイス CGV チョンジュヒョジャ店,A TWOSOME PLACE CGV 全州孝子店,
스타벅스 전주효자DT점,Starbucks Jeonju Hyoja DT,スターバックス チョンジュヒョジャDT店,星巴克 全州孝子DT店,
빽다방 전주효자안행교점,PAIK'S COFFEE Jeonju Hyoja Anhaeng Bridge,ペクタバン チョンジュヒョジャアンヘン橋店,白茶坊 全州孝子安行桥店,
빽다방 전주우아한시티점,PAIK'S COFFEE Jeonju Uahan City,ペクタバン チョンジュウアハンシティ店,白茶坊 全州牛牙城店,
이디야커피 전주우아한시티점,EDIYA COFFEE Jeonju Uahan City,イディヤコーヒー チョンジュウアハンシティ店,EDIYA COFFEE 全州牛牙城店,
이디야커피 전주효자우전점,EDIYA COFFEE Jeonju Hyoja Ujeon,イディヤコーヒー チョンジュヒョジャウジョン店,EDIYA COFFEE 全州孝子雨田店,
빽다방 전주수병원점,PAIK'S COFFEE Jeonju Su Hospital,ペクタバン チョンジュス病院店,白茶坊 全州秀医院店,
스타벅스 전주신시가지점,Starbucks Jeonju Sinsigaji,スターバックス チョンジュ新市街地店,星巴克 全州新市街地店,
이디야커피 전주KBS점,EDIYA COFFEE Jeonju KBS,イディヤコーヒー チョンジュKBS店,EDIYA COFFEE 全州KBS店,
빽다방 전주효자기전점,PAIK'S COFFEE Jeonju Hyoja Gijeon,ペクタバン チョンジュヒョジャキジョン店,白茶坊 全州孝子紀全店,
빽다방 전주본병원점,PAIK'S COFFEE Jeonju Bon Hospital,ペクタバン チョンジュボン病院店,白茶坊 全州本医院店,
이디야커피 서신바구멀점,EDIYA COFFEE Seosin Bagumeol,イディヤコーヒー ソシンパグモル店,EDIYA COFFEE 西新巴古末店,
스타벅스 전주경원점,Starbucks Jeonju Gyeongwon,スターバックス チョンジュキョンウォン店,星巴克 全州慶原店,
메가MGC커피 전주고사객사길점,MEGA COFFEE Jeonju Gosa Gaeksa-gil,メガMGCコーヒー チョンジュコサ客舎通り店,MEGA COFFEE 全州高士客舍路店,
이디야커피 전주고사점,EDIYA COFFEE Jeonju Gosa,イディヤコーヒー チョンジュコサ店,EDIYA COFFEE 全州高士店,
빽다방 전주객사1호점,PAIK'S COFFEE Jeonju Gaeksa No.1,ペクタバン チョンジュケクサ1号店,白茶坊 全州客舍1号店,
투썸플레이스 전주영화의거리점,A TWOSOME PLACE Jeonju Cinema Street,ア・トゥーサムプレイス チョンジュ映画通り店,A TWOSOME PLACE 全州电影街店,
투썸플레이스 전주진북점,A TWOSOME PLACE Jeonju Jinbuk,ア・トゥーサムプレイス チョンジュチンブク店,A TWOSOME PLACE 全州鎮北店,
빽다방 전주교대점,PAIK'S COFFEE Jeonju Univ. of Education,ペクタバン チョンジュ教育大店,白茶坊 全州教育大学店,
메가MGC커피 동전주IC점,MEGA COFFEE -dong Jeonju IC,メガMGCコーヒー 洞チョンジュIC店,MEGA COFFEE 洞全州IC店,
스타벅스 전주만성DT점,Starbucks Jeonju Manseong DT,スターバックス チョンジュマンソンDT店,星巴克 全州萬成DT店,
컴포즈커피 전북사대부고점,COMPOSE COFFEE Jeonbuk Univ. High School,コンポーズコーヒー 全北大附属高校店,COMPOSE COFFEE 全北大附属高中店,
메가MGC커피 전북사대부고점,MEGA COFFEE Jeonbuk Univ. High School,メガMGCコーヒー 全北大附属高校店,MEGA COFFEE 全北大附属高中店,
투썸플레이스 전주혁신호수공원점,A TWOSOME PLACE Jeonju Innovation City Lake Park,ア・トゥーサムプレイス チョンジュ革新都市湖水公園店,A TWOSOME PLACE 全州革新都市湖水公园店,
빽다방베이커리 전주기지제호수점,PAIK'S COFFEE Bakery Jeonju Gijije Lake,ペクタバン ベーカリー チョンジュキジジェ湖店,白茶坊烘焙 全州基地堤湖店,
이디야커피 전주기지제호수점,EDIYA COFFEE Jeonju Gijije Lake,イディヤコーヒー チョンジュキジジェ湖店,EDIYA COFFEE 全州基地堤湖店,
이디야커피 중산점,EDIYA COFFEE Jungsan,イディヤコーヒー チュンサン店,EDIYA COFFEE 中山店,
빽다방 전주중산점,PAIK'S COFFEE Jeonju Jungsan,ペクタバン チョンジュチュンサン店,白茶坊 全州中山店,
메가MGC커피 전주반월점,MEGA COFFEE Jeonju Banwol,メガMGCコーヒー チョンジュパノル店,MEGA COFFEE 全州半月店,
빽다방 전주동산점,PAIK'S COFFEE Jeonju Dongsan,ペクタバン チョンジュトンサン店,白茶坊 全州東山店,
빽다방 전주송천오송점,PAIK'S COFFEE Jeonju Songcheon Osong,ペクタバン チョンジュソンチョンオソン店,白茶坊 全州松川五松店,
스타벅스 전주효천DT점,Starbucks Jeonju Hyocheon DT,スターバックス チョンジュヒョチョンDT店,星巴克 全州孝泉DT店,
투썸플레이스 전주서곡점,A TWOSOME PLACE Jeonju Seogok,ア・トゥーサムプレイス チョンジュソゴク店,A TWOSOME PLACE 全州西谷店,
컴포즈커피 전주소양천점,COMPOSE COFFEE Jeonju Soyangcheon,コンポーズコーヒー チョンジュソヤンチョン店,COMPOSE COFFEE 全州所陽川店,
이디야커피 전주진북점,EDIYA COFFEE Jeonju Jinbuk,イディヤコーヒー チョンジュチンブク店,EDIYA COFFEE 全州鎮北店,
스타벅스 전주한옥마을점,Starbucks Jeonju Hanok Village,スターバックス チョンジュ韓屋村店,星巴克 全州韩屋村店,
메가MGC커피 전주한옥마을경기전점,MEGA COFFEE Jeonju Hanok Village Gyeonggijeon Shrine,メガMGCコーヒー チョンジュ韓屋村慶基殿店,MEGA COFFEE 全州韩屋村庆基殿店,
이디야 전주한옥마을점,EDIYA COFFEE Jeonju Hanok Village,イディヤコーヒー チョンジュ韓屋村店,EDIYA COFFEE 全州韩屋村店,
메가MGC커피 전주평화코오롱점,MEGA COFFEE Jeonju Pyeonghwa Kolon,メガMGCコーヒー チョンジュピョンファコーロン店,MEGA COFFEE 全州平和可隆店,
빽다방 전주한옥마을점,PAIK'S COFFEE Jeonju Hanok Village,ペクタバン チョンジュ韓屋村店,白茶坊 全州韩屋村店,
컴포즈커피 전주아중점,COMPOSE COFFEE Jeonju Ajung,コンポーズコーヒー チョンジュアジュン店,COMPOSE COFFEE 全州牙中店,
빽다방 전주반월점,PAIK'S COFFEE Jeonju Banwol,ペクタバン チョンジュパノル店,白茶坊 全州半月店,
투썸플레이스 전주반월DT점,A TWOSOME PLACE Jeonju Banwol DT,ア・トゥーサムプレイス チョンジュパノルDT店,A TWOSOME PLACE 全州半月DT店,
컴포즈커피 전주신라스테이점,COMPOSE COFFEE Jeonju Shilla Stay,コンポーズコーヒー チョンジュ新羅ステイ店,COMPOSE COFFEE 全州新罗酒店店,
메가MGC커피 전주호성점,MEGA COFFEE Jeonju Hoseong,メガMGCコーヒー チョンジュホソン店,MEGA COFFEE 全州湖城店,
빽다방 전주호성점,PAIK'S COFFEE Jeonju Hoseong,ペクタバン チョンジュホソン店,白茶坊 全州湖城店,
컴포즈커피 전주호성점,COMPOSE COFFEE Jeonju Hoseong,コンポーズコーヒー チョンジュホソン店,COMPOSE COFFEE 全州湖城店,
메가MGC커피 전주효자휴먼시아점,MEGA COFFEE Jeonju Hyoja Humansia,メガMGCコーヒー チョンジュヒョジャヒューマンシア店,MEGA COFFEE 全州孝子休曼西亚店,
메가MGC커피 전주신시가지점,MEGA COFFEE Jeonju Sinsigaji,メガMGCコーヒー チョンジュ新市街地店,MEGA COFFEE 全州新市街地店,
메가MGC커피 전북도청점,MEGA COFFEE Jeonbuk Provincial Office,メガMGCコーヒー 全北道庁店,MEGA COFFEE 全北道厅店,
투썸플레이스 전주LH점,A TWOSOME PLACE Jeonju LH,ア・トゥーサムプレイス チョンジュLH店,A TWOSOME PLACE 全州LH店,
스타벅스 전주홍산로점,Starbucks Jeonju Hongsan-ro,スターバックス チョンジュ鴻山路店,星巴克 全州鸿山路店,
컴포즈커피 전북도청점,COMPOSE COFFEE Jeonbuk Provincial Office,コンポーズコーヒー 全北道庁店,COMPOSE COFFEE 全北道厅店,
빽다방 전주마전점,PAIK'S COFFEE Jeonju Majeon,ペクタバン チョンジュマジョン店,白茶坊 全州麻田店,
메가MGC커피 전주효천점,MEGA COFFEE Jeonju Hyocheon,メガMGCコーヒー チョンジュヒョチョン店,MEGA COFFEE 全州孝泉店,
이디야커피 전주신시가지점,EDIYA COFFEE Jeonju Sinsigaji,イディヤコーヒー チョンジュ新市街地店,EDIYA COFFEE 全州新市街地店,
투썸플레이스 전주신시가지점,A TWOSOME PLACE Jeonju Sinsigaji,ア・トゥーサムプレイス チョンジュ新市街地店,A TWOSOME PLACE 全州新市街地店,
스타벅스 전북도청점,Starbucks Jeonbuk Provincial Office,スターバックス 全北道庁店,星巴克 全北道厅店,
빽다방 전북도청타운점,PAIK'S COFFEE Jeonbuk Provincial Office Town,ペクタバン 全北道庁タウン店,白茶坊 全北道厅城店,
